MSSubClass,MSZoning,LotArea,LotConfig,BldgType,OverallCond,YearBuilt,YearRemodAdd,Exterior1st,BsmtFinSF2,TotalBsmtSF,SalePrice
20,RL,9416,Inside,1Fam,5,2007,2007,CemntBd,0,1726,311872
75,RL,25419,Corner,1Fam,4,1918,1990,Stucco,184,1360,235000
75,RM,5520,Corner,1Fam,6,1912,1950,Wd Sdng,0,755,104000
20,RL,9591,Inside,1Fam,5,2004,2005,VinylSd,0,1713,274900
20,RM,8546,Corner,1Fam,5,2003,2004,VinylSd,0,1121,140000
20,RL,10125,Inside,1Fam,6,1977,1977,Plywood,279,1196,171500
50,RL,7000,Corner,1Fam,6,1924,1950,MetalSd,0,617,112000
120,RM,4438,Inside,TwnhsE,5,2004,2004,VinylSd,0,848,149000
50,RM,3500,Inside,1Fam,7,1947,1950,AsbShng,0,720,110000
20,RL,11851,Corner,1Fam,5,1990,1990,HdBoard,0,1424,180500
20,RL,13673,CulDSac,1Fam,5,1962,1962,HdBoard,0,1140,143900
20,RL,12493,Inside,1Fam,5,1960,1960,Wd Sdng,306,1100,141000
60,RL,14364,Inside,1Fam,5,1988,1989,Plywood,0,1157,277000
20,RL,8250,Inside,1Fam,7,1964,1964,HdBoard,0,1092,145000
30,RL,5604,Inside,1Fam,6,1925,1950,Stucco,0,864,98000
20,RL,10420,Corner,1Fam,5,2009,2009,VinylSd,0,1212,186000
60,FV,8640,Inside,1Fam,5,2009,2009,VinylSd,0,900,252678
20,RL,13568,CulDSac,1Fam,5,1995,1995,VinylSd,0,990,156000
60,RL,10900,FR2,1Fam,7,1977,1977,HdBoard,0,689,161750
20,RL,10011,Inside,1Fam,6,1957,1996,HdBoard,0,1070,134450
20,RL,8450,Inside,1Fam,5,2004,2004,VinylSd,0,1436,210000
70,RM,9906,Inside,1Fam,4,1925,1950,MetalSd,0,686,107000
50,RL,15660,Corner,1Fam,9,1939,2006,VinylSd,0,798,311500
120,RL,3010,Inside,TwnhsE,5,2005,2006,VinylSd,0,1248,167240
20,RL,8990,Inside,1Fam,5,2006,2006,VinylSd,0,1498,204900
60,RL,8068,Inside,1Fam,5,2002,2002,VinylSd,0,1010,200000
60,RL,11475,Inside,1Fam,6,1975,1975,VinylSd,0,713,179900
20,RL,10500,FR2,1Fam,6,1971,1971,HdBoard,180,864,97000
20,RL,13472,Inside,1Fam,5,2003,2003,VinylSd,0,2392,386250
160,RM,1680,Inside,Twnhs,5,1971,1971,HdBoard,0,630,112000
60,RL,9950,Inside,1Fam,5,1995,1995,VinylSd,0,1203,290000
160,RM,1869,Inside,Twnhs,6,1970,1970,HdBoard,0,483,106000
20,RL,8521,FR2,1Fam,5,1967,1967,HdBoard,0,912,125000
120,RL,3182,Inside,TwnhsE,5,2005,2006,VinylSd,0,1373,192500
20,RL,8760,Inside,1Fam,6,1959,1959,MetalSd,0,1194,148000
60,RL,15138,Inside,1Fam,5,1995,1996,VinylSd,0,1462,403000
160,RM,1680,Inside,Twnhs,5,1972,1972,HdBoard,0,483,94500
20,RL,10650,Corner,1Fam,6,1976,1976,HdBoard,712,894,128200
60,RL,7851,Inside,1Fam,5,2002,2002,VinylSd,0,860,216500
160,RM,1680,Inside,TwnhsE,3,1971,1971,HdBoard,0,483,89500
20,RL,8773,FR2,1Fam,5,2004,2004,VinylSd,0,1414,185500
60,RL,9453,CulDSac,1Fam,7,1993,2003,HdBoard,0,996,194500
20,RL,12030,Inside,1Fam,5,2007,2007,VinylSd,0,1694,318000
50,RL,8741,Inside,1Fam,4,1945,1950,VinylSd,0,735,113000
20,FV,9000,Inside,1Fam,5,2008,2008,VinylSd,0,1566,262500
30,RM,3880,Inside,1Fam,9,1945,1997,VinylSd,0,686,110500
50,RM,5000,Corner,1Fam,4,1900,1950,Wd Sdng,0,540,79000
160,RL,10762,Corner,TwnhsE,6,1980,1980,Plywood,0,626,120000
60,RL,8880,Inside,1Fam,5,1994,2002,VinylSd,0,948,205000
20,RL,10400,Inside,1Fam,5,1988,1988,Wd Sdng,0,1845,241500
190,RM,9142,Inside,2fmCon,8,1910,1950,AsbShng,0,1020,137000
20,RL,11310,Inside,1Fam,5,1954,1954,Wd Sdng,0,1367,140000
60,RL,11317,Inside,1Fam,5,2003,2003,VinylSd,0,840,180000
50,RL,159000,CulDSac,1Fam,7,1958,2006,Wd Sdng,0,1444,277000
30,RL,5350,Inside,1Fam,2,1940,1966,Wd Sdng,0,728,76500
120,RM,4750,Inside,TwnhsE,5,2006,2007,VinylSd,0,1573,235000
60,RL,8366,Inside,1Fam,5,2004,2004,VinylSd,0,798,173000
80,RL,9350,Inside,1Fam,7,1964,1991,HdBoard,580,1302,158000
20,RL,8400,Inside,1Fam,6,1957,1957,MetalSd,0,1314,145000
60,RL,8738,Inside,1Fam,5,1999,1999,VinylSd,0,975,230000
60,FV,8791,Inside,1Fam,5,2003,2003,VinylSd,0,864,207500
20,RL,8814,Inside,1Fam,5,2006,2006,VinylSd,0,1604,220000
60,RL,12435,Inside,1Fam,5,2001,2001,VinylSd,0,963,231500
20,RM,12702,Inside,1Fam,5,1956,1956,BrkFace,0,0,97000
80,RL,19296,Corner,1Fam,5,1962,1962,Wd Sdng,690,1362,176000
60,RL,9588,Inside,1Fam,5,2007,2007,CemntBd,0,1482,276000
80,RL,8471,Corner,1Fam,7,1977,1995,HdBoard,0,506,151000
50,RM,5500,Corner,1Fam,7,1929,2001,Wd Sdng,692,926,130000
30,RM,5232,Inside,1Fam,5,1925,2004,Wd Sdng,0,680,73000
20,RL,12090,Inside,1Fam,6,1981,1981,MetalSd,228,1422,175500
60,RL,11207,FR2,1Fam,5,1997,1997,VinylSd,0,802,185000
75,RL,8400,Inside,1Fam,8,1939,1997,Wd Sdng,0,720,179500
30,RM,6900,Inside,1Fam,6,1940,1955,VinylSd,125,740,120500
20,RL,7917,Corner,1Fam,7,1976,1976,HdBoard,0,1143,148000
60,FV,10728,Inside,1Fam,5,2006,2006,VinylSd,0,1095,266000
20,RL,39104,CulDSac,1Fam,7,1954,2005,Plywood,1063,1385,241500
60,RL,11764,CulDSac,1Fam,7,1999,2007,VinylSd,0,1152,290000
20,RL,9600,Inside,1Fam,6,1958,1988,Wd Sdng,620,1240,139000
20,RL,8314,Corner,1Fam,7,1982,1982,HdBoard,0,816,124500
50,RL,7264,Inside,1Fam,7,1925,2007,Wd Sdng,0,952,205000
20,RL,9196,Inside,1Fam,5,2003,2003,VinylSd,0,1560,201000
20,RL,19138,Corner,1Fam,5,1951,1951,VinylSd,0,864,141000
20,RL,14450,Inside,1Fam,5,2006,2007,CemntBd,0,2121,415298
60,RL,10005,Inside,1Fam,5,1977,1977,Plywood,0,1160,192000
60,RL,11287,Inside,1Fam,6,1989,1989,Plywood,0,807,228500
20,FV,7200,Inside,1Fam,5,2006,2006,VinylSd,0,1262,185000
120,RL,5063,Inside,Twnhs,5,2007,2008,VinylSd,0,1314,207500
20,RL,9612,Inside,1Fam,5,2008,2009,VinylSd,0,1468,244600
120,RL,8012,Inside,TwnhsE,5,1992,1992,Plywood,0,1575,179200
160,FV,4251,Inside,TwnhsE,5,2006,2007,MetalSd,0,625,164700
50,RL,9786,Inside,1Fam,7,1962,1981,Wd Sdng,0,912,159000
20,RL,8125,Corner,1Fam,4,1971,1971,HdBoard,0,858,88000
20,RL,9819,Inside,1Fam,5,1967,1967,MetalSd,0,882,122000
70,RL,8730,Inside,1Fam,7,1915,2003,Wd Sdng,0,698,153575
60,RL,15611,Inside,1Fam,5,2006,2006,VinylSd,0,1079,233230
190,RL,5687,Inside,2fmCon,6,1912,2000,VinylSd,0,780,135900
50,RL,11409,Inside,1Fam,4,1949,2008,Wd Sdng,0,768,131000
60,RL,16659,Corner,1Fam,7,1977,1994,Plywood,0,795,235000
20,RL,9600,Inside,1Fam,5,1953,1953,HdBoard,0,1416,167000
80,RL,7937,CulDSac,1Fam,6,1984,1984,HdBoard,0,1003,142500
50,RM,13710,Inside,1Fam,5,1950,1950,Wd Sdng,0,910,152000
60,FV,7399,Inside,1Fam,5,1997,1998,VinylSd,0,975,239000
60,RL,11700,Inside,1Fam,6,1968,1968,HdBoard,175,702,175000
20,RL,14000,Inside,1Fam,8,1950,2004,HdBoard,0,1092,158500
190,RL,15750,Corner,2fmCon,5,1953,1953,MetalSd,0,1165,157000
60,RL,16226,Inside,1Fam,5,1998,1999,VinylSd,0,1028,267000
20,RL,13704,Corner,1Fam,5,2001,2002,VinylSd,0,1541,205000
20,RL,9800,Corner,1Fam,7,1972,1972,VinylSd,0,894,149900
75,RM,18386,Inside,1Fam,9,1880,2002,CemntBd,0,1470,295000
20,RL,10386,Inside,1Fam,5,2004,2005,CemntBd,0,2000,305900
60,RL,13474,Inside,1Fam,5,1990,1991,HdBoard,0,700,225000
50,RM,7920,Inside,1Fam,7,1920,1950,MetalSd,0,319,89500
30,RL,12342,Inside,1Fam,5,1940,1950,VinylSd,0,861,82500
20,RL,12378,Inside,1Fam,5,2003,2004,VinylSd,0,1896,360000
60,RL,7685,Inside,1Fam,5,1993,1994,HdBoard,0,697,165600
20,RL,8000,Inside,1Fam,6,1948,2002,VinylSd,0,972,132000
190,RM,7800,Inside,2fmCon,7,1939,1950,MetalSd,0,793,119900
20,RL,215245,Inside,1Fam,5,1965,1965,BrkFace,820,2136,375000
70,RM,9600,Inside,1Fam,7,1925,1990,Wd Sdng,0,728,178000
60,RL,7795,Inside,1Fam,5,2004,2005,VinylSd,0,716,188500
60,RL,13005,Corner,1Fam,7,1980,1980,CemntBd,0,845,260000
60,FV,9000,Inside,1Fam,5,2006,2006,VinylSd,0,1088,270000
60,RL,9900,Inside,1Fam,5,1993,1993,HdBoard,0,1347,260000
80,RL,14115,Inside,1Fam,5,1980,1980,Plywood,0,1372,187500
60,RL,16259,Corner,1Fam,5,2006,2006,VinylSd,0,1249,342643
60,RL,12099,Inside,1Fam,5,2004,2004,VinylSd,0,1136,354000
60,RL,10380,Inside,1Fam,5,1986,1987,Plywood,1474,1502,301000
20,RM,5820,Inside,1Fam,8,1955,2005,VinylSd,0,1162,126175
80,RL,11275,Corner,1Fam,7,1967,2007,Wd Sdng,0,710,242000
45,RM,5000,Inside,1Fam,6,1941,1950,MetalSd,0,720,87000
120,RL,10846,CulDSac,TwnhsE,5,1993,1993,BrkFace,0,1719,324000
20,RL,11600,Inside,1Fam,5,1960,1960,Wd Sdng,0,1383,145250
75,RL,11888,Inside,1Fam,6,1916,1994,Wd Sdng,0,844,214500
70,RM,6402,Corner,1Fam,5,1920,1950,Wd Sdng,0,596,78000
90,RL,10624,Inside,Duplex,4,1964,1964,HdBoard,264,1728,119000
20,RL,8176,Inside,1Fam,6,1958,1992,Wd Sdng,0,1056,139000
20,RL,10655,Inside,1Fam,5,2003,2004,VinylSd,479,3206,284000
120,RM,8198,FR3,TwnhsE,5,2004,2004,VinylSd,0,1358,207000
60,RL,9042,Inside,1Fam,5,1998,1998,VinylSd,0,943,192000
190,RL,164660,Corner,2fmCon,6,1965,1965,Plywood,147,1499,228950
20,RL,14157,Corner,1Fam,5,2005,2006,VinylSd,0,1922,377426
20,RL,9135,Inside,1Fam,5,2002,2003,VinylSd,0,1536,214000
20,RL,14145,Corner,1Fam,7,1984,1998,Wd Sdng,0,1208,202500
20,RL,12400,Inside,1Fam,7,1958,1998,Wd Sdng,0,1215,155000
60,RL,14191,Inside,1Fam,5,2002,2002,VinylSd,0,967,202900
20,RH,8400,Inside,1Fam,4,1950,1950,Wd Sdng,0,721,82000
90,RL,8544,Inside,Duplex,4,1949,1950,Stucco,0,0,87500
120,RL,8849,Inside,TwnhsE,5,2005,2005,MetalSd,0,1684,266000
160,RM,2592,Inside,TwnhsE,3,1976,1976,CemntBd,232,536,85000
50,RL,6435,Inside,1Fam,5,1939,1950,MetalSd,0,972,140200
20,RL,12772,CulDSac,1Fam,8,1960,1998,MetalSd,0,958,151500
20,RL,17600,Inside,1Fam,5,1960,1960,Wd Sdng,0,1478,157500
160,RL,2448,Inside,Twnhs,5,2003,2004,VinylSd,0,764,154000
60,RL,20431,Inside,1Fam,5,2005,2006,CemntBd,0,1848,437154
120,RL,7820,Inside,TwnhsE,5,2007,2007,MetalSd,0,1869,318061
120,RL,5271,Inside,1Fam,5,1986,1986,Wd Sdng,0,1453,190000
50,RL,9084,Inside,1Fam,6,1941,1950,VinylSd,380,616,95000
30,RM,8520,Inside,1Fam,8,1928,2003,VinylSd,0,624,105900
